id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1414,2,0,Jurii Daddy Purps,0,0,0,Indica,0,Holistic Healing Collective,0,0,0,"Richmond, CA",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,2,0,1024,0,0,0,Hybrid,0,Medical Seeds Co.,"Uplifted, Relaxed, Energetic, Creative, Dry Mouth, Anxious","Stress, Pain, Depression, Inflammation",Pine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,2,0,3D CBD,0,0,0,Sativa,0,0,"Relaxed, Happy, Uplifted, Sleepy, Tingly, Dry Mouth","Pain, Stress, Inflammation, Depression",Earthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,2,0,Aceh,0,0,0,Sativa,0,0,"Euphoric, Creative, Talkative, Energetic, Happy, Dry Mouth","Depression, Stress, Lack of Appetite, Insomnia, Pain","Earthy, Mango, Lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,2,0,Afghan Cow,0,0,0,Hybrid,0,Dr. Krippling,"Uplifted, Focused, Euphoric, Happy, Energetic, Dry Mouth","Lack of Appetite, Stress, Depression, Inflammation","Sweet, Vanilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,2,0,African,0,0,0,Sativa,0,0,"Happy, Creative, Euphoric, Energetic, Hungry, Paranoid, Dry Mouth, Anxious","Stress, Depression, Pain, Nausea, Lack of Appetite",Earthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,2,0,Afrikaner,0,0,0,Sativa,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,2,0,Alaska,0,0,0,Hybrid,0,Tikun Olam,"Relaxed, Uplifted, Euphoric, Happy, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Insomnia, Pain, Lack of Appetite","Earthy, Pepper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,2,0,Alaskan Ice,0,0,0,Hybrid,0,Green House Seed Co.,"Euphoric, Happy, Relaxed, Uplifted, Hungry, Dry Mouth, Paranoid","Depression, Stress, Pain","Sweet, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,2,0,Alice in Wonderland,0,0,0,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious","Lack of Appetite, Stress, Depression, Muscle Spasms","Pine, Earthy, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,2,0,Alien Dutchess,0,0,0,Sativa,0,0,"Euphoric, Relaxed, Uplifted, Focused, Happy, Dry Mouth","Pain, Stress, Depression, Insomnia, Muscle Spasms","Sweet, Berry, Lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,2,0,Alien Stardawg,0,0,0,Hybrid,0,Green Beanz Seeds,"Uplifted, Happy, Euphoric, Creative, Tingly, Dry Mouth","Stress, Depression, Lack of Appetite, Inflammation, Muscle Spasms",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1426,2,0,Allen Wrench,0,0,0,Hybrid,0,Unknown Breeder,"Energetic, Happy, Focused, Uplifted, Creative, Dry Mouth, Anxious","Stress, Depression, Pain, Lack of Appetite","Earthy, Pine, Citrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,2,0,Alpha Blue,0,0,0,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Euphoric, Uplifted, Energetic, Dry Mouth, Anxious, Paranoid","Depression, Pain, Stress, Lack of Appetite","Blueberry, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
